inputfile,status,cpu_time,wall_time,host
array-crafted/zero_sum_const4.yml,OUT OF MEMORY,508.23,508.25,apollon100
array-crafted/zero_sum_const5.yml,OUT OF MEMORY,541.96,542.17,apollon108
array-crafted/zero_sum_const_m2.yml,OUT OF MEMORY,481.28,481.52,apollon129
array-crafted/zero_sum_const_m3.yml,OUT OF MEMORY,500.65,500.65,apollon167
array-crafted/zero_sum_const_m4.yml,OUT OF MEMORY,519.09,519.28,apollon138
array-crafted/zero_sum_const_m5.yml,OUT OF MEMORY,516.71,516.83,apollon096
array-crafted/zero_sum_m2.yml,ERROR (42),875.08,875.08,apollon074
array-crafted/zero_sum_m3.yml,ERROR (42),874.72,875.06,apollon066
array-crafted/zero_sum_m4.yml,ERROR (42),874.86,875.06,apollon073
array-crafted/zero_sum_m5.yml,ERROR (42),875.06,875.08,apollon138
array-multidimensional/add-2-n-u.yml,OUT OF MEMORY,410.0,409.26,apollon081
array-multidimensional/add-3-n-u.yml,OUT OF MEMORY,485.01,484.26,apollon158
array-multidimensional/copy-2-u.yml,OUT OF MEMORY,421.98,421.43,apollon096
array-multidimensional/copy-3-n-u.yml,OUT OF MEMORY,451.75,450.91,apollon089
array-multidimensional/copy-partial-2-n-u.yml,OUT OF MEMORY,353.08,352.49,apollon117
array-multidimensional/copy-partial-3-u.yml,OUT OF MEMORY,448.17,447.4,apollon066
array-multidimensional/diff-2-n-u.yml,OUT OF MEMORY,430.52,429.82,apollon154
array-multidimensional/diff-3-n-u.yml,OUT OF MEMORY,621.72,621.04,apollon120
array-multidimensional/init-2-n-u.yml,OUT OF MEMORY,392.4,391.62,apollon106
array-multidimensional/init-3-u.yml,OUT OF MEMORY,583.17,582.41,apollon112
array-multidimensional/init-4-n-u.yml,OUT OF MEMORY,853.85,853.15,apollon077
array-multidimensional/init-non-constant-2-n-u.yml,OUT OF MEMORY,74.03,74.03,apollon061
array-multidimensional/init-non-constant-3-u.yml,OUT OF MEMORY,733.88,733.05,apollon076
array-multidimensional/max-2-u.yml,OUT OF MEMORY,354.76,354.0,apollon144
array-multidimensional/max-3-n-u.yml,OUT OF MEMORY,477.67,476.98,apollon079
array-multidimensional/min-2-u.yml,OUT OF MEMORY,363.79,363.21,apollon125
array-multidimensional/min-3-n-u.yml,OUT OF MEMORY,449.19,448.48,apollon085
array-multidimensional/rev-2-n-u.yml,OUT OF MEMORY,434.38,433.46,apollon134
array-multidimensional/rev-3-u.yml,OUT OF MEMORY,483.62,482.97,apollon115
array-multidimensional/transpose-u.yml,OUT OF MEMORY,402.8,402.06,apollon080
array-patterns/array10_pattern.yml,ERROR (42),875.21,875.06,apollon120
array-patterns/array11_pattern.yml,ERROR (42),875.28,875.06,apollon107
array-patterns/array12_pattern.yml,false(unreach-call),0.31,0.29,apollon102
array-patterns/array13_pattern.yml,false(unreach-call),0.3,0.28,apollon075
array-patterns/array14_pattern.yml,false(unreach-call),0.27,0.25,apollon118
array-patterns/array15_pattern.yml,false(unreach-call),0.27,0.26,apollon122
array-patterns/array16_pattern.yml,false(unreach-call),0.26,0.24,apollon075
array-patterns/array17_pattern.yml,false(unreach-call),0.48,0.46,apollon143
array-patterns/array18_pattern.yml,false(unreach-call),0.65,0.63,apollon133
array-patterns/array19_pattern.yml,false(unreach-call),0.5,0.48,apollon081
array-patterns/array1_pattern.yml,ERROR (42),875.26,875.06,apollon128
array-patterns/array20_pattern.yml,false(unreach-call),0.55,0.54,apollon131
array-patterns/array21_pattern.yml,false(unreach-call),80.66,80.64,apollon111
array-patterns/array22_pattern.yml,OUT OF MEMORY,45.16,45.16,apollon057
array-patterns/array23_pattern.yml,OUT OF MEMORY,46.02,46.04,apollon108
array-patterns/array24_pattern.yml,false(unreach-call),45.17,45.18,apollon132
array-patterns/array25_pattern.yml,OUT OF MEMORY,274.63,274.78,apollon123
array-patterns/array26_pattern.yml,OUT OF MEMORY,192.95,193.04,apollon154
array-patterns/array27_pattern.yml,OUT OF MEMORY,242.24,242.34,apollon102
array-patterns/array28_pattern.yml,OUT OF MEMORY,280.46,280.47,apollon068
array-patterns/array29_pattern.yml,OUT OF MEMORY,223.42,223.47,apollon121
array-patterns/array2_pattern.yml,ERROR (42),875.1,875.06,apollon151
array-patterns/array30_pattern.yml,OUT OF MEMORY,174.25,174.25,apollon155
array-patterns/array3_pattern.yml,ERROR (42),875.1,875.08,apollon106
array-patterns/array4_pattern.yml,ERROR (42),875.11,875.08,apollon076
array-patterns/array5_pattern.yml,ERROR (42),875.42,875.07,apollon065
array-patterns/array6_pattern.yml,ERROR (42),875.18,875.07,apollon125
array-patterns/array7_pattern.yml,ERROR (42),875.28,875.08,apollon111
array-patterns/array8_pattern.yml,ERROR (42),875.18,875.08,apollon143
array-patterns/array9_pattern.yml,ERROR (42),875.29,875.08,apollon131
array-cav19/array_doub_access_init_const.yml,OUT OF MEMORY,110.09,109.25,apollon127
array-cav19/array_init_both_ends_multiple_sum.yml,OUT OF MEMORY,73.53,72.81,apollon167
array-cav19/array_init_nondet_vars.yml,ERROR (42),875.37,875.06,apollon089
array-cav19/array_init_pair_sum_const.yml,OUT OF MEMORY,94.19,93.3,apollon134
array-cav19/array_init_pair_symmetr.yml,OUT OF MEMORY,158.65,158.64,apollon159
array-cav19/array_init_pair_symmetr2.yml,OUT OF MEMORY,274.63,274.7,apollon144
array-cav19/array_init_var_plus_ind.yml,OUT OF MEMORY,86.88,86.11,apollon091
array-cav19/array_init_var_plus_ind2.yml,OUT OF MEMORY,83.1,82.41,apollon130
array-cav19/array_init_var_plus_ind3.yml,OUT OF MEMORY,89.91,88.97,apollon136
array-cav19/array_min_and_copy_shift_sum_add.yml,ERROR (42),874.78,875.08,apollon123
array-cav19/array_tiling_poly6.yml,OUT OF MEMORY,113.81,113.83,apollon140
array-cav19/array_tiling_tcpy.yml,ERROR (42),875.48,875.07,apollon107
array-cav19/array_tripl_access_init_const.yml,OUT OF MEMORY,150.1,149.35,apollon133
array-lopstr16/base_case.yml,ERROR (42),875.22,875.06,apollon123
array-lopstr16/break-1.yml,OUT OF MEMORY,433.97,433.29,apollon088
array-lopstr16/break-2.yml,OUT OF MEMORY,314.2,313.45,apollon120
array-lopstr16/flag_loopdep.yml,ERROR (42),875.2,875.06,apollon102
array-lopstr16/flag_loopdep_simple.yml,OUT OF MEMORY,360.14,359.22,apollon163
array-lopstr16/motivex.yml,OUT OF MEMORY,359.24,358.57,apollon097
array-lopstr16/partial_lesser_bound-1.yml,OUT OF MEMORY,194.64,193.84,apollon150
array-lopstr16/partial_lesser_bound.yml,ERROR (42),875.35,875.07,apollon150
array-lopstr16/scalar_loopdep.yml,OUT OF MEMORY,101.5,100.46,apollon074
array-lopstr16/single_elem_safe.yml,ERROR (42),874.8,875.06,apollon145
array-lopstr16/sum_multi_array.yml,OUT OF MEMORY,370.81,369.85,apollon067
array-fpi/brs1.yml,OUT OF MEMORY,376.08,376.07,apollon075
array-fpi/brs1f.yml,false(unreach-call),0.14,0.13,apollon137
array-fpi/brs2.yml,OUT OF MEMORY,376.92,376.95,apollon057
array-fpi/brs2f.yml,false(unreach-call),0.24,0.23,apollon103
array-fpi/brs3.yml,OUT OF MEMORY,397.3,397.37,apollon072
array-fpi/brs3f.yml,false(unreach-call),0.27,0.25,apollon063
array-fpi/brs4.yml,OUT OF MEMORY,562.61,562.72,apollon103
array-fpi/brs4f.yml,false(unreach-call),0.14,0.12,apollon145
array-fpi/brs5.yml,OUT OF MEMORY,412.34,412.34,apollon163
array-fpi/brs5f.yml,false(unreach-call),0.14,0.13,apollon063
array-fpi/conda.yml,OUT OF MEMORY,88.48,88.53,apollon139
array-fpi/condaf.yml,false(unreach-call),0.14,0.13,apollon115
array-fpi/condg.yml,OUT OF MEMORY,70.97,70.98,apollon058
array-fpi/condgf.yml,false(unreach-call),0.16,0.14,apollon140
array-fpi/condm.yml,OUT OF MEMORY,69.84,69.84,apollon158
array-fpi/condmf.yml,false(unreach-call),0.15,0.14,apollon060
array-fpi/condn.yml,OUT OF MEMORY,121.11,121.11,apollon086
array-fpi/condnf.yml,false(unreach-call),0.19,0.17,apollon058
array-fpi/eqn1.yml,OUT OF MEMORY,126.15,126.14,apollon073
array-fpi/eqn1f.yml,false(unreach-call),0.39,0.37,apollon136
array-fpi/eqn2.yml,OUT OF MEMORY,139.21,139.22,apollon111
array-fpi/eqn2f.yml,false(unreach-call),0.15,0.13,apollon159
array-fpi/eqn3.yml,OUT OF MEMORY,123.1,123.22,apollon133
array-fpi/eqn3f.yml,false(unreach-call),0.15,0.14,apollon112
array-fpi/eqn4.yml,OUT OF MEMORY,123.67,123.67,apollon088
array-fpi/eqn4f.yml,false(unreach-call),0.15,0.13,apollon143
array-fpi/eqn5.yml,OUT OF MEMORY,118.42,118.44,apollon151
array-fpi/eqn5f.yml,false(unreach-call),0.16,0.15,apollon060
array-fpi/ifcomp.yml,OUT OF MEMORY,157.87,157.94,apollon102
array-fpi/ifcompf.yml,false(unreach-call),0.46,0.44,apollon158
array-fpi/ifeqn1.yml,OUT OF MEMORY,130.64,130.69,apollon063
array-fpi/ifeqn1f.yml,false(unreach-call),0.14,0.13,apollon132
array-fpi/ifeqn2.yml,OUT OF MEMORY,122.38,122.37,apollon140
array-fpi/ifeqn2f.yml,false(unreach-call),0.19,0.17,apollon152
