inputfile                                                                                                                                                                          status                       cpu time   wall time        host
reducercommutativity/sum40-2.yml                                                                                                                                                   unknown                          0.08        0.08  apollon133
reducercommutativity/sum60-2.yml                                                                                                                                                   unknown                          0.09        0.09  apollon159
array-tiling/mbpr2.yml                                                                                                                                                             TIMEOUT                        900.29      900.38  apollon091
array-tiling/mbpr3.yml                                                                                                                                                             TIMEOUT                        900.43      900.38  apollon102
array-tiling/mbpr4.yml                                                                                                                                                             TIMEOUT                        900.69      900.62  apollon162
array-tiling/mbpr5.yml                                                                                                                                                             OUT OF MEMORY                  187.34      186.22  apollon069
array-tiling/mlceu.yml                                                                                                                                                             unknown                          0.10        0.10  apollon096
array-tiling/mlceu2.yml                                                                                                                                                            unknown                          0.09        0.09  apollon006
array-tiling/nr2.yml                                                                                                                                                               TIMEOUT                        900.21      900.47  apollon100
array-tiling/nr3.yml                                                                                                                                                               TIMEOUT                        900.23      900.20  apollon043
array-tiling/nr4.yml                                                                                                                                                               TIMEOUT                        900.22      900.28  apollon116
array-tiling/nr5.yml                                                                                                                                                               TIMEOUT                        900.23      900.38  apollon164
array-tiling/pnr2.yml                                                                                                                                                              unknown                          0.09        0.09  apollon049
array-tiling/pnr3.yml                                                                                                                                                              unknown                          0.11        0.11  apollon131
array-tiling/pnr4.yml                                                                                                                                                              unknown                          0.10        0.10  apollon109
array-tiling/pnr5.yml                                                                                                                                                              unknown                          0.11        0.11  apollon130
array-tiling/poly1.yml                                                                                                                                                             unknown                          0.11        0.11  apollon023
array-tiling/poly2.yml                                                                                                                                                             unknown                          0.09        0.09  apollon050
array-tiling/pr2.yml                                                                                                                                                               TIMEOUT                        900.25      900.25  apollon138
array-tiling/pr3.yml                                                                                                                                                               TIMEOUT                        900.30      900.53  apollon001
array-tiling/pr4.yml                                                                                                                                                               TIMEOUT                        900.28      900.51  apollon010
array-tiling/pr5.yml                                                                                                                                                               TIMEOUT                        900.25      900.20  apollon124
array-tiling/revcpyswp2.yml                                                                                                                                                        unknown                          0.11        0.11  apollon161
array-tiling/rew.yml                                                                                                                                                               unknown                          0.10        0.10  apollon060
array-tiling/rewnif.yml                                                                                                                                                            unknown                          0.09        0.09  apollon082
array-tiling/rewnifrev.yml                                                                                                                                                         unknown                          0.12        0.12  apollon156
array-tiling/rewnifrev2.yml                                                                                                                                                        unknown                          0.12        0.12  apollon067
array-tiling/rewrev.yml                                                                                                                                                            unknown                          0.10        0.10  apollon095
array-tiling/skipped.yml                                                                                                                                                           unknown                          0.11        0.11  apollon076
array-tiling/skippedu.yml                                                                                                                                                          unknown                          0.12        0.12  apollon127
array-tiling/tcpy.yml                                                                                                                                                              unknown                          0.12        0.11  apollon050
array-programs/copysome1-1.yml                                                                                                                                                     TIMEOUT                        900.30      900.55  apollon009
array-programs/copysome1-2.yml                                                                                                                                                     TIMEOUT                        900.30      900.30  apollon044
array-programs/copysome2-1.yml                                                                                                                                                     TIMEOUT                        900.25      900.35  apollon015
array-programs/copysome2-2.yml                                                                                                                                                     TIMEOUT                        900.27      900.29  apollon098
array-programs/partial_mod_count_1.yml                                                                                                                                             unknown                        112.92      112.92  apollon114
array-programs/partial_mod_count_2.yml                                                                                                                                             unknown                        116.08      116.15  apollon025
array-programs/partial_mod_count_3.yml                                                                                                                                             unknown                        141.73      141.81  apollon141
array-programs/partial_mod_count_4.yml                                                                                                                                             unknown                        121.44      121.44  apollon065
array-programs/partial_mod_count_5.yml                                                                                                                                             unknown                        143.19      143.19  apollon037
array-programs/partial_mod_count_limited_1.yml                                                                                                                                     TIMEOUT                        900.27      900.30  apollon017
array-programs/partial_mod_count_limited_2.yml                                                                                                                                     TIMEOUT                        900.30      900.21  apollon027
array-programs/partial_mod_count_limited_3.yml                                                                                                                                     TIMEOUT                        900.29      900.21  apollon056
array-programs/partial_mod_count_limited_4.yml                                                                                                                                     TIMEOUT                        900.31      900.20  apollon115
array-programs/partial_mod_count_limited_5.yml                                                                                                                                     TIMEOUT                        900.30      900.20  apollon131
array-programs/partial_mod_count_limited_base.yml                                                                                                                                  TIMEOUT                        900.27      900.99  apollon003
array-programs/partial_mod_count_limited_gen.yml                                                                                                                                   TIMEOUT                        900.31      900.22  apollon112
array-crafted/bAnd1.yml                                                                                                                                                            unknown                          0.07        0.07  apollon076
array-crafted/bAnd2.yml                                                                                                                                                            unknown                          0.07        0.07  apollon138
array-crafted/bAnd3.yml                                                                                                                                                            unknown                          0.07        0.07  apollon014
array-crafted/bAnd4.yml                                                                                                                                                            unknown                          0.07        0.07  apollon126
array-crafted/bAnd5.yml                                                                                                                                                            unknown                          0.07        0.07  apollon149
array-crafted/bor1.yml                                                                                                                                                             unknown                          0.07        0.07  apollon042
